ref_code,source_material_id_orig,source_material_id,ref_code_seq
EMOBON00644,ARMS_RAVH2_20220428-20220718_MF100_A,EMOBON_Italy_Ha_14,DBN_AADG
EMOBON00645,ARMS_RAVH2_20220428-20220718_MF500_A,EMOBON_Italy_Ha_15,DBN_AADH
EMOBON00646,ARMS_RAVH3_20220428-20220718_SF40_A,EMOBON_Italy_Ha_16,DBN_AADI
EMOBON00647,ARMS_RAVH3_20220428-20220718_MF100_A,EMOBON_Italy_Ha_17,DBN_AADJ
EMOBON00648,ARMS_RAVH3_20220428-20220718_MF500_A,EMOBON_Italy_Ha_18,DBN_AADK
EMOBON00649,ARMS_RAVM1_20220428-20220718_SF40_A,EMOBON_Italy_Ha_19,DBN_AADL
EMOBON00650,ARMS_RAVM1_20220428-20220718_MF100_A,EMOBON_Italy_Ha_20,DBN_AADM
EMOBON00651,ARMS_RAVM1_20220428-20220718_MF500_A,EMOBON_Italy_Ha_21,DBN_AADN
EMOBON00652,ARMS_RAVM2_20220428-20220718_SF40_A,EMOBON_Italy_Ha_22,DBN_AADO
EMOBON00653,ARMS_RAVM2_20220428-20220718_MF100_A,EMOBON_Italy_Ha_23,DBN_AADP
EMOBON00654,ARMS_RAVM2_20220428-20220718_MF500_A,EMOBON_Italy_Ha_24,DBN_AADQ
EMOBON00655,ARMS_RAVM3_20220428-20220718_SF40_A,EMOBON_Italy_Ha_25,DBN_AADR
EMOBON00656,ARMS_RAVM3_20220428-20220718_MF100_A,EMOBON_Italy_Ha_26,DBN_AADS
EMOBON00657,ARMS_RAVM3_20220428-20220718_MF500_A,EMOBON_Italy_Ha_27,DBN_AADT
EMOBON00658,EMOBON_ROSKOGO_So_210923_macro_2,EMOBON_ROSKOGO_So_7,DBK_AABE
EMOBON00659,EMOBON_ROSKOGO_So_220301_macro_1,EMOBON_ROSKOGO_So_21,DBK_AABF
EMOBON00660,EMOBON_ROSKOGO_So_220301_macro_2,EMOBON_ROSKOGO_So_22,DBK_AABG
EMOBON00661,Roscoff_BasBIo_S1_200529-210518_MF100,EMOBON_Roskogo_Ha_1,DBN_AADU
EMOBON00662,Roscoff_BasBIo_S1_200529-210518_MF500,EMOBON_Roskogo_Ha_2,DBN_AADV
EMOBON00663,Roscoff_BasBIo_S1_200529-210518_SFA,EMOBON_Roskogo_Ha_3,DBN_AADW
EMOBON00664,Roscoff_BasBIo_S2_200529-210519_MF100,EMOBON_Roskogo_Ha_4,DBN_AADX
EMOBON00665,Roscoff_BasBIo_S2_200529-210519_MF500,EMOBON_Roskogo_Ha_5,DBN_AADY
EMOBON00666,Roscoff_BasBIo_S2_200529-210519_SFA,EMOBON_Roskogo_Ha_6,DBN_AADZ
EMOBON00667,Roscoff_BasBIo_S3_200529-210519_MF100,EMOBON_Roskogo_Ha_7,DBN_AAEA
EMOBON00668,Roscoff_BasBIo_S3_200529-210519_MF500,EMOBON_Roskogo_Ha_8,DBN_AAEB
EMOBON00669,Roscoff_BasBIo_S3_200529-210519_SFA,EMOBON_Roskogo_Ha_9,DBN_AAEC
EMOBON00670,Roscoff_MarBIo_S1_210621-211011_MF100,EMOBON_Roskogo_Ha_10,DBN_AAED
