old_source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_experiment_metab,ena_accession_number_run_metag,ena_accession_number_run_metab,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,source_mat_id
EMOBON_ROSKOGO_Wa_220210_0.2um_1,EMOBON00355,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_Wa_47
EMOBON_ROSKOGO_Wa_220210_0.2um_2,EMOBON00356,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_Wa_48
EMOBON_ROSKOGO_Wa_220425_3um_1,EMOBON00357,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_Wa_53
EMOBON_ROSKOGO_Wa_220425_3um_2,EMOBON00358,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_Wa_54
EMOBON_ROSKOGO_Wa_220425_0.2um_1,EMOBON00359,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_Wa_57
EMOBON_ROSKOGO_Wa_220425_0.2um_2,EMOBON00360,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_Wa_58
EMOBON_ROSKOGO_Wa_220607_3um_1,EMOBON00361,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_Wa_63
EMOBON_ROSKOGO_Wa_220607_3um_2,EMOBON00362,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_Wa_64
EMOBON_ROSKOGO_Wa_220607_0.2um_1,EMOBON00363,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_Wa_67
EMOBON_ROSKOGO_Wa_220607_0.2um_2,EMOBON00364,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_Wa_68
EMOBON_ROSKOGO_Wa_220805_3um_1,EMOBON00365,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_Wa_73
EMOBON_ROSKOGO_Wa_220805_3um_2,EMOBON00366,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_Wa_74
EMOBON_ROSKOGO_Wa_220805_0.2um_1,EMOBON00367,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_Wa_77
EMOBON_ROSKOGO_Wa_220805_0.2um_2,EMOBON00368,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_Wa_78
EMOBON_ROSKOGO_So_220303_micro_1,EMOBON00369,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_So_26
EMOBON_ROSKOGO_So_220303_micro_2,EMOBON00370,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_So_27
EMOBON_ROSKOGO_So_220425_micro_1,EMOBON00371,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_So_35
EMOBON_ROSKOGO_So_220425_micro_2,EMOBON00372,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_So_36
EMOBON_ROSKOGO_So_220623_micro_1,EMOBON00373,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_So_44
EMOBON_ROSKOGO_So_220623_micro_2,EMOBON00374,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_So_45
